Wednesday 06.05.2009 21:32:31 CEST -- root(1, ::1) -- newContent
Wednesday 15.07.2009 10:39:48 CEST -- root(1, ::1) -- delNews
Wednesday 15.07.2009 10:39:53 CEST -- root(1, ::1) -- delNewsComment
Wednesday 15.07.2009 10:39:55 CEST -- root(1, ::1) -- delNewsComment
Wednesday 15.07.2009 11:07:50 CEST -- root(1, ::1) -- newUser
Wednesday 15.07.2009 11:08:15 CEST -- root(1, ::1) -- newUser
Wednesday 15.07.2009 11:08:59 CEST -- root(1, ::1) -- newUser
Wednesday 15.07.2009 11:09:19 CEST -- root(1, ::1) -- newUser
Wednesday 15.07.2009 11:09:51 CEST -- root(1, ::1) -- newUser
Wednesday 15.07.2009 11:09:53 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:11:13 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:11:21 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:11:26 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:12:08 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:13:32 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:13:35 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:13:40 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:14:33 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:14:36 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:14:38 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:14:59 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:15:12 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:15:59 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:17:15 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:18:06 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:18:42 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:18:50 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:19:15 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 11:19:43 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 12:57:29 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 12:57:41 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 13:00:02 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 13:02:39 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 13:10:24 CEST -- root(1, ::1) -- editUser
Wednesday 15.07.2009 13:10:26 CEST -- root(1, ::1) -- delUser
Wednesday 15.07.2009 13:10:28 CEST -- root(1, ::1) -- unlockUser
Wednesday 15.07.2009 13:19:05 CEST -- root(1, ::1) -- delUser
Wednesday 15.07.2009 13:19:12 CEST -- root(1, ::1) -- newNavGroup
Wednesday 15.07.2009 13:19:18 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:19:21 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:19:33 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:20:24 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:20:32 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:21:02 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:21:37 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:21:39 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:21:43 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:24:26 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:24:35 CEST -- root(1, ::1) -- editNavGroup
Wednesday 15.07.2009 13:26:32 CEST -- root(1, ::1) -- editContent
Wednesday 15.07.2009 13:26:42 CEST -- root(1, ::1) -- editNews
Wednesday 15.07.2009 13:26:43 CEST -- root(1, ::1) -- editNews
Wednesday 15.07.2009 13:50:44 CEST -- root(1, ::1) -- editContent
Wednesday 15.07.2009 13:50:48 CEST -- root(1, ::1) -- delContent
Wednesday 15.07.2009 13:57:43 CEST -- root(1, ::1) -- delContent
Wednesday 15.07.2009 13:57:44 CEST -- root(1, ::1) -- newRights
Wednesday 15.07.2009 13:57:46 CEST -- root(1, ::1) -- editRights
Wednesday 15.07.2009 13:57:50 CEST -- root(1, ::1) -- editRights
Wednesday 15.07.2009 13:57:53 CEST -- root(1, ::1) -- delRights
Saturday 18.07.2009 00:03:51 CEST -- root(1, ::1) -- delRights
